issn,year,railroad_interest,has_editor,has_publisher
2375-4281,1883,0,1,1
2375-4281,1884,0,1,1
2375-4281,1885,0,1,1
2375-4281,1890,0,1,1
2376-8274,1869,1,0,1
2471-6340,1871,0,1,0
2471-6340,1872,0,1,0
2471-6340,1873,0,1,0
2474-3224,1871,1,0,1
2474-3224,1872,1,0,1
2474-3224,1873,1,0,1
2474-3224,1876,1,0,1
2474-3224,1878,1,0,1
2474-3224,1879,1,0,1
2474-3224,1880,1,0,1
2474-3224,1882,1,0,1
2474-3224,1883,1,0,1
2474-3224,1884,1,0,1
2474-3224,1885,1,0,1
2474-3291,1871,0,1,1
2474-3291,1872,0,1,1
2474-3291,1873,0,1,1
2474-3291,1876,0,1,1
2474-3291,1877,0,1,1
2474-3291,1878,0,1,1
2474-3291,1879,0,1,1
2474-3291,1880,0,1,1
2474-3291,1882,0,1,1
2474-3291,1883,0,1,1
2474-3291,1884,0,1,1
2474-3291,1885,0,1,1
2474-3291,1890,0,1,1
2476-2725,1869,0,0,1
2476-2725,1871,0,0,1
2476-2725,1872,0,0,1
2476-2725,1873,0,0,1
2476-2725,1876,0,0,1
2476-2725,1877,0,0,1
2476-2725,1878,0,0,1
2476-2725,1879,0,0,1
2476-2725,1880,0,0,1
2476-2725,1882,0,0,1
2476-2725,1883,0,0,1
2476-2725,1884,0,0,1
2476-2725,1885,0,0,1
2476-2725,1890,0,0,1
2572-5904,1882,0,1,0
2572-5904,1883,0,1,0
2572-5904,1884,0,1,0
2572-5904,1885,0,1,0
2572-5904,1890,0,1,0
2572-6943,1876,1,1,0
2572-6943,1877,1,1,0
2572-6943,1878,1,1,0
2572-6943,1879,1,1,0
2572-6943,1880,1,1,0
2572-6943,1882,1,1,0
2572-6943,1883,1,1,0
2572-6943,1884,1,1,0
2572-6943,1885,1,1,0
2572-6943,1890,1,1,0
2574-6928,1869,1,1,1
2574-6928,1871,1,1,1
2574-6928,1872,1,1,1
2574-6928,1873,1,1,1
2574-6928,1876,1,1,1
2574-6928,1877,1,1,1
2575-1271,1879,0,1,1
2575-1271,1880,0,1,0
2575-1271,1882,0,1,0
2575-1271,1883,0,1,0
2575-1271,1884,0,1,0
2575-1271,1885,0,1,0
2575-1271,1890,0,1,1
2576-5604,1882,0,1,1
2576-5604,1883,0,1,1
2576-5604,1884,0,1,1
2576-5604,1885,0,1,0
2576-5604,1890,0,1,0
2576-568X,1876,0,1,1
2576-6139,1869,1,1,0
2576-6139,1871,1,1,0
2576-6139,1872,1,1,0
2576-6139,1873,1,1,0
2576-6139,1876,1,1,0
2576-6139,1877,1,1,0
2576-6139,1878,1,1,0
2576-6139,1879,1,1,0
2576-6139,1880,1,1,0
2576-6139,1882,1,1,0
2576-6139,1883,1,1,0
2576-6139,1884,1,1,0
2576-6139,1885,1,1,0
2577-4166,1869,1,1,1
2577-4166,1871,1,1,1
2577-4166,1872,1,1,1
2577-4166,1873,1,1,1
2577-4166,1876,1,1,1
2577-4166,1877,1,1,1
2577-4166,1878,1,1,1
2577-4166,1879,1,1,1
2577-4166,1880,1,1,1
2577-4166,1882,1,1,1
2577-4166,1883,1,1,1
2577-4166,1884,1,1,1
2577-4166,1885,1,1,1
2577-4166,1890,1,1,1
2577-6754,1869,1,1,0
2577-6754,1871,1,1,0
2577-6754,1872,1,1,0
2577-6754,1873,1,1,0
2577-6754,1880,1,1,0
2577-6754,1882,1,1,0
2577-6754,1883,1,1,0
2577-6754,1884,1,1,0
2639-6327,1869,0,1,1
2639-6327,1871,0,1,1
2639-6327,1872,0,1,1
2639-6327,1873,0,1,1
2639-6327,1876,0,1,1
2639-6327,1877,0,1,1
2639-6327,1878,0,1,1
2639-6327,1879,0,1,1
2639-6327,1880,0,1,1
2639-6327,1882,0,1,1
2639-6327,1883,0,1,1
2639-6327,1884,0,1,1
2639-6327,1885,0,1,1
2639-6327,1890,0,1,1
2640-5164,1869,1,1,0
2640-5164,1871,1,1,0
2640-5164,1872,1,1,0
2640-5164,1873,1,1,0
2640-5164,1880,1,1,0
2640-5164,1882,1,1,0
2640-5164,1883,1,1,0
2640-5164,1884,1,1,0
2641-0028,1873,0,1,1
2641-0028,1876,0,1,1
2641-0028,1877,0,1,1
2641-0028,1878,0,1,1
2641-0028,1879,0,1,0
2641-0028,1880,0,1,0
2641-0028,1882,0,1,0
2643-6574,1869,1,1,0
2643-6574,1871,1,1,1
2643-6574,1872,1,0,1
2643-6574,1873,1,0,1
2643-6574,1876,1,1,1
2643-6574,1877,1,1,1
2643-6574,1878,1,1,1
2643-6574,1879,1,0,1
2643-6574,1880,1,0,1
2643-6574,1882,1,0,1
2643-6574,1883,1,0,1
2643-6574,1884,1,0,1
2643-7473,1869,0,1,1
2643-7473,1871,0,1,1
2643-7473,1872,0,1,1
2643-7473,1873,0,1,1
2693-5732,1869,1,0,1
2693-5732,1871,1,0,1
2693-5732,1872,1,0,1
2693-5732,1873,1,0,1
2693-5732,1876,1,0,1
2693-5732,1877,1,0,1
2693-5732,1878,1,0,1
2693-5732,1879,1,0,1
2693-5732,1880,1,0,1
2693-5732,1882,1,0,1
2693-5732,1883,1,0,1
2693-5732,1884,1,0,1
2693-5732,1885,1,0,1
2693-5732,1890,1,0,1
2693-5767,1869,1,0,1
2693-5767,1871,1,0,1
2693-5767,1872,1,0,1
2693-5767,1873,1,0,1
2693-5767,1876,1,0,1
2693-5767,1877,1,0,1
2693-5767,1878,1,0,1
2693-5767,1879,1,0,1
2693-5767,1880,1,0,1
2693-5767,1882,1,0,1
2693-5767,1883,1,0,1
2693-5767,1884,1,0,1
2693-5767,1885,1,0,1
2693-5767,1890,1,0,1
2694-3352,1876,1,1,1
2694-3352,1877,1,1,1
2694-3352,1878,1,1,1
